Date,Time(UT),Lat,Long,Depth,Mag

02/10/12,2:05:28,61.428,-126.549,5.0g,3.3ML
02/19/12,1:56:25,62.062,-124.128,15.0g,3.2ML
04/04/12,8:03:29,62.52,-125.122,1.0g,3.7ML
04/17/12,0:18:41,56.538,-122.299,10.0g,3.0ML
04/17/12,7:09:36,56.542,-122.211,10.0g,3.0ML
04/17/12,22:29:15,56.905,-122.119,15.0g,2.7ML
05/11/12,13:04:13,56.224,-122.058,1.0g,3.4ML
05/19/12,10:29:13,60.101,-129.461,10.0g,3.7ML
05/19/12,22:53:18,56.178,-121.745,10.0g,2.3ML
05/23/12,0:13:02,61.92,-126.334,1.0g,2.8ML
06/07/12,23:19:23,57.797,-124.844,0.0g,4.4ML
07/17/12,9:55:23,59.338,-122.192,30.0g,2.7ML
07/18/12,9:43:46,59.422,-122.191,15.0g,2.8ML
07/19/12,9:42:35,62.197,-124.167,10.0g,3.2ML
07/30/12,5:37:21,62.493,-124.966,1.0g,2.7ML
08/24/12,22:16:03,62.49,-125.019,1.0g,3.1ML
08/28/12,20:43:45,59.826,-122.819,20.0g,2.6ML
09/29/12,13:02:21,62.25,-124.121,1.0g,3.5ML
